Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
mdoH,Other,242384E_coliDH5_03289,-0.8636507638,27.94937945,-7.432440676,0.000003039239647,0.00002352861029,4.362372529,4,-7.776400518,0.000001071397916,0.000008409211746,Not Significant,5.970049203
fruA_2,Other,242384E_coliDH5_03033,-0.7615267211,27.91904175,-7.260034429,0.000003968267237,0.00002915539018,4.084524141,5,-7.776249832,0.000001071655073,0.000008409211746,Not Significant,5.969944976
gnsA_2,Other,242384E_coliDH5_00463,-1.093166221,29.56840205,-7.294576118,0.000003760614575,0.0000278962631,4.140507101,6,-7.766110321,0.000001089108656,0.000008517198877,Significant,5.96292879
hybD,Other,242384E_coliDH5_03923,2.26732599,22.89341611,8.27814083,0.0000008671700148,0.000007907356618,5.669496143,1,7.730935444,0.000001152007407,0.000008978652326,Significant,5.938544728
iolS,Other,242384E_coliDH5_02700,-0.7140568097,29.56743936,-6.648218105,0.00001055434038,0.0000667092144,3.06634614,13,-7.725593322,0.000001161888838,0.000008997694133,Not Significant,5.93483542
nuoI,Other,242384E_coliDH5_01030,2.30677376,26.55828195,8.236978262,0.0000009198944637,0.000008289830187,5.607965542,1,7.725398484,0.000001162250911,0.000008997694133,Significant,5.934700105
metJ,Other,242384E_coliDH5_02863,1.292474285,27.94255091,7.390807432,0.000003240293172,0.0000250011918,4.295637192,4,7.711680841,0.000001188043082,0.000009166606655,Significant,5.92516781
ppc,Fermentation,242384E_coliDH5_02880,0.7258031909,32.72515586,6.359628156,0.00001703953459,0.00009906214661,2.568429167,43,7.675266672,0.000001259467855,0.000009685307808,Not Significant,5.899812912
ftsH,Other,242384E_coliDH5_02014,-1.009307979,31.1661673,-6.811688715,0.000008086979204,0.0000535353577,3.343352257,30,-7.654689402,0.000001301810206,0.000009977661612,Significant,5.885452328
slt,Other,242384E_coliDH5_02420,-0.8951144124,28.81943663,-6.904615868,0.000006962191701,0.00004752004809,3.49920113,10,-7.629290111,0.000001356145249,0.00001035969235,Not Significant,5.867693793
artI,Other,242384E_coliDH5_00205,1.648949195,29.84850661,7.213893028,0.000004264688553,0.0000311349256,4.009493092,8,7.62196629,0.000001372251019,0.00001044812905,Significant,5.862566438
sucC,Other,242384E_coliDH5_00069,1.042027363,31.12581828,7.012916169,0.000005855725798,0.0000406902392,3.679356927,9,7.602436778,0.00000141618756,0.00001074718652,Significant,5.848879225
unknown,Other,242384E_coliDH5_03775,1.900147519,25.67341437,8.498981433,0.0000006339432225,0.000006093779227,5.996075593,1,7.575115229,0.000001480147693,0.00001119574009,Significant,5.829694947
nfsB,Other,242384E_coliDH5_04131,0.7503511225,29.80566363,6.736537042,0.000009135991659,0.00005903846711,3.216457043,9,7.554635033,0.000001530076583,0.00001153557738,Not Significant,5.815286831
unknown,Other,242384E_coliDH5_03704,-0.9099204649,30.74518048,-6.696524051,0.000009752002181,0.00006266815887,3.148580769,19,-7.550519327,0.000001540321889,0.00001157499217,Not Significant,5.812388513
dmsA,Other,242384E_coliDH5_00236,7.049701656,24.21050831,7.297465755,0.000003743770077,0.00002786089538,4.145183247,1,7.524778315,0.000001606054484,0.00001202976524,Significant,5.794239726
eda,Other,242384E_coliDH5_02258,1.022781289,33.05439162,6.799046045,0.000008254182812,0.00005419428401,3.322058554,16,7.51214872,0.000001639375841,0.00001223961186,Significant,5.785321469
panB,Other,242384E_coliDH5_01257,1.088098362,29.30677707,7.306670848,0.000003690639157,0.00002764384589,4.160071956,3,7.50673017,0.000001653893553,0.00001230816912,Significant,5.781492446
rbsB,Other,242384E_coliDH5_03977,2.931813604,30.7782087,7.163065448,0.000004618400342,0.00003340015545,3.926512639,10,7.500259993,0.000001671405755,0.00001237187948,Significant,5.776918107
ilvE,Other,242384E_coliDH5_03386,0.8162099117,28.99930693,7.3772733,0.000003308634129,0.0000253588669,4.273893565,3,7.499608419,0.00000167318006,0.00001237187948,Not Significant,5.77645732
lexA_1,Other,242384E_coliDH5_00916,1.083809809,26.38197746,7.56488738,0.0000024825983,0.00001968162982,4.573159541,2,7.497570065,0.000001678743481,0.0000123733585,Significant,5.775015661
copA,Other,242384E_coliDH5_02764,1.360680432,28.86682526,7.069108081,0.000005356100282,0.00003790344586,3.772207498,7,7.489894826,0.000001699866813,0.00001248914885,Significant,5.769585105
fliA,Other,242384E_coliDH5_02328,5.086308832,22.68473472,7.303947515,0.000003706274692,0.00002767111882,4.155668294,1,7.465659245,0.000001768416504,0.00001295154563,Significant,5.752415441
aceF,Fermentation,242384E_coliDH5_01238,-0.7409160964,31.86653071,-6.366032331,0.00001685727671,0.00009845503131,2.579601818,22,-7.462528338,0.000001777481474,0.00001297673975,Not Significant,5.750194917
unknown,Other,242384E_coliDH5_02436,3.169594536,26.59329733,7.521280489,0.000002652928553,0.00002081736793,4.504013825,1,7.457635494,0.000001791745552,0.00001303961195,Significant,5.746723665
dppD,Other,242384E_coliDH5_03146,2.433085028,26.92593647,7.8019255,0.000001738107403,0.00001437209239,4.944698242,1,7.454670702,0.000001800447181,0.00001306173474,Significant,5.744619615
lamB,Other,242384E_coliDH5_00925,1.747502523,28.04261934,7.26940155,0.000003910787804,0.00002882488008,4.099721465,2,7.433163451,0.000001864913159,0.0000134870052,Significant,5.729341387
ywrO,Other,242384E_coliDH5_01586,-2.269987778,23.36824902,-7.811439539,0.00000171366497,0.00001422095354,4.959459431,1,-7.376015077,0.000002048253559,0.000014766628,Significant,5.688616282
corA,Other,242384E_coliDH5_03341,1.383217742,27.50193736,7.242663001,0.000004077232653,0.00002986087534,4.056309596,2,7.330208914,0.000002208824093,0.00001587463297,Significant,5.655838869
purN,Other,242384E_coliDH5_01424,0.9092464198,28.22379696,7.153974072,0.000004684860828,0.00003377491853,3.911633726,3,7.314063734,0.000002268521054,0.00001625303749,Not Significant,5.644257186
yibA_1,Other,242384E_coliDH5_02892,-3.049583146,22.39719847,-7.384957093,0.000003269650174,0.00002514360984,4.286241143,1,-7.308382898,0.000002289926303,0.00001635560366,Significant,5.640178494
rnpA,Other,242384E_coliDH5_03005,1.916117603,22.85151463,8.037792375,0.00000122749534,0.00001052725558,5.307249165,1,7.282170548,0.000002391472264,0.00001699054036,Significant,5.621334652
lipB,Other,242384E_coliDH5_03515,1.028457461,27.07275093,7.365163861,0.000003371069613,0.00002575184635,4.254418281,2,7.281645844,0.0000023935525,0.00001699054036,Significant,5.620957042
hisI,Other,242384E_coliDH5_04122,-0.9098485313,29.23222261,-6.797945009,0.000008268915463,0.00005419428401,3.320203082,6,-7.279603305,0.000002401668412,0.00001699585591,Not Significant,5.619486954
purC,Other,242384E_coliDH5_01399,0.7617817478,31.9295292,6.339304292,0.00001763174914,0.0001019329266,2.532935366,15,7.245834513,0.000002540110123,0.00001792059344,Not Significant,5.595147455
queE,Other,242384E_coliDH5_01799,1.463274065,25.94017413,9.047410223,0.0000002982599998,0.000003141944381,6.781981251,1,7.231812543,0.00000260003084,0.00001828741204,Significant,5.585021501
