Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
nuoN,Other,242384E_coliDH5_01025,2.102787694,23.51280795,2.217936798,0.04346298677,0.08896992943,-5.342766644,1,2.286187047,0.03689276687,0.07702408432,Not Significant,1.433058772
rlmL,Other,242384E_coliDH5_00290,-0.2971912662,28.08566499,-2.18014773,0.04665996352,0.09409487398,-5.408824607,4,-2.27797932,0.03748453563,0.07818880986,Not Significant,1.426147865
fadL,Other,242384E_coliDH5_01094,0.4579909004,26.32427134,2.234707494,0.04211083073,0.08650907079,-5.313274815,2,2.26996271,0.03807108471,0.07934055324,Not Significant,1.419404749
pqiB,Other,242384E_coliDH5_00293,-0.3975740478,26.97228001,-2.199520571,0.04499454998,0.09161732285,-5.375028693,3,-2.269354722,0.03811591742,0.07936229376,Not Significant,1.418893623
rsmE,Other,242384E_coliDH5_02575,-0.4505047901,25.32405398,-2.860752148,0.01249758251,0.03207110439,-4.150772973,1,-2.261373885,0.03870901148,0.08052451711,Not Significant,1.412187919
tsaC,Other,242384E_coliDH5_01516,-0.3267818646,27.5179253,-2.198814707,0.04505424385,0.09165797227,-5.376262644,3,-2.258898488,0.03889471416,0.08083793295,Not Significant,1.410109416
ppsR,Other,242384E_coliDH5_00618,-0.4857160089,24.81309861,-2.71368867,0.0167039597,0.04079473736,-4.432762234,1,-2.255761094,0.0391312745,0.08125639088,Not Significant,1.407476007
rpoZ,Other,242384E_coliDH5_02948,0.6684602043,29.49769828,2.159072382,0.04853687878,0.09694768774,-5.445422172,5,2.255102315,0.03918111689,0.08128672363,Not Significant,1.406923188
gshA,Other,242384E_coliDH5_03399,-0.2937277964,29.16344793,-2.079687822,0.05625405142,0.1095673392,-5.581639869,8,-2.252345036,0.03939037278,0.08161162627,Not Significant,1.404609909
dtd,Other,242384E_coliDH5_02809,-0.6656631048,27.02113802,-2.187755118,0.04599924306,0.09325154108,-5.395571043,2,-2.252107154,0.03940847493,0.08161162627,Not Significant,1.404410372
gntK_2,Other,242384E_coliDH5_01669,-2.004293337,22.69349787,-2.184790913,0.04625564728,0.09360682304,-5.400737976,1,-2.250500235,0.03953096046,0.08179186168,Not Significant,1.403062634
rppH,Other,242384E_coliDH5_01745,-1.268313628,23.61261412,-2.220167328,0.04328083361,0.08867573991,-5.338850323,1,-2.249611977,0.03959881914,0.08185884925,Not Significant,1.402317765
puuR,Other,242384E_coliDH5_02086,1.280039939,21.42842989,2.212898427,0.04387708114,0.08973796648,-5.351605935,1,2.243710022,0.0400524672,0.08272250835,Not Significant,1.397370727
pykF,Other,242384E_coliDH5_00591,-0.1936317905,32.78778822,-1.812310481,0.09126118288,0.1638440069,-6.019257499,41,-2.238639359,0.04044608337,0.08346074628,Not Significant,1.393123527
ydaF,Other,242384E_coliDH5_03273,-0.4916251654,26.24281435,-2.193705511,0.04548853024,0.09241901985,-5.385188467,2,-2.237154029,0.04056206465,0.08362527538,Not Significant,1.391879947
ybaB,Other,242384E_coliDH5_02751,0.9439141693,28.17049011,2.144388298,0.04988586189,0.09887172112,-5.47081574,5,2.236171244,0.04063897523,0.08370903201,Not Significant,1.391057252
maeA,Other,242384E_coliDH5_00392,0.2367573784,28.45001823,2.093492372,0.05483538302,0.1073898376,-5.558142786,5,2.233264066,0.04086728057,0.08410420721,Not Significant,1.388624261
uspD,Other,242384E_coliDH5_02848,0.8232861537,27.29157997,2.289812498,0.0379405794,0.07949947018,-5.215637513,1,2.231946906,0.04097111199,0.08424274097,Not Significant,1.387522249
unknown,Other,242384E_coliDH5_00219,0.9080704205,26.11894072,2.257793526,0.0403138873,0.08341243911,-5.272505132,1,2.228561482,0.04123911229,0.08471828321,Not Significant,1.384690692
yghB,Other,242384E_coliDH5_03938,0.7266246601,21.96206418,2.331323543,0.03505928324,0.07509913319,-5.141371047,1,2.227358248,0.04133475628,0.08483921951,Not Significant,1.383684619
cytR,Other,242384E_coliDH5_02859,-0.9259650342,23.21878533,-2.246868618,0.04115508868,0.08492378317,-5.291823025,1,-2.223137391,0.04167190349,0.08545518343,Not Significant,1.380156661
ffh,Other,242384E_coliDH5_03473,0.2017501817,29.59911048,1.904824437,0.07738518041,0.1424801366,-5.871803117,13,2.221257235,0.04182290595,0.08568867143,Not Significant,1.378585795
cbl,Other,242384E_coliDH5_02390,1.158328541,23.18422503,2.200135007,0.04494264817,0.09161732285,-5.373954414,1,2.218930263,0.04201049867,0.08599664634,Not Significant,1.376642163
unknown,Other,242384E_coliDH5_01340,-1.307923674,21.7306414,-2.181561297,0.04653652635,0.09401030323,-5.40636362,1,-2.215895486,0.04225632818,0.08642318183,Not Significant,1.374108243
pdhR_1,Other,242384E_coliDH5_01236,-1.74290606,23.55303982,-2.156706815,0.04875187988,0.09729289523,-5.449518907,1,-2.214806846,0.04234483796,0.08644238738,Not Significant,1.373199525
fetA,Other,242384E_coliDH5_02770,0.7707460237,23.42819272,2.292250877,0.03776533732,0.07934848196,-5.211291739,1,2.214787763,0.04234639105,0.08644238738,Not Significant,1.373183596
unknown,Other,242384E_coliDH5_02776,-0.9185225026,24.47881569,-2.238754477,0.04179049238,0.08600416229,-5.306142204,1,-2.214149653,0.04239835321,0.08644238738,Not Significant,1.372651011
ampD,Other,242384E_coliDH5_01233,0.7252402725,25.24865563,2.315470242,0.0361343935,0.0767606315,-5.169804458,1,2.213923441,0.04241678827,0.08644238738,Not Significant,1.372462219
ycaO,Other,242384E_coliDH5_00247,0.3263787486,26.41811146,2.153052718,0.04908573359,0.09778997184,-5.455842701,3,2.213020965,0.04249040907,0.08644238738,Not Significant,1.371709088
sstT,Other,242384E_coliDH5_01930,1.555562492,27.33559222,2.162623988,0.04821573684,0.09638969227,-5.439267206,1,2.213019406,0.04249053632,0.08644238738,Not Significant,1.371707787
dcyD,Other,242384E_coliDH5_02325,0.250533841,28.25600755,2.079066893,0.056318652,0.1095673392,-5.582694839,5,2.211324327,0.04262913652,0.08664794532,Not Significant,1.370293464
ptrB,Other,242384E_coliDH5_02252,-0.4674697978,24.90045126,-2.171093301,0.04745788978,0.09512193894,-5.424569408,2,-2.210356689,0.04270844479,0.086670518,Not Significant,1.369486243
yiaD,Other,242384E_coliDH5_03157,0.7445997612,22.13598662,2.300048903,0.03721001162,0.07853933833,-5.197379673,1,2.210272167,0.04271537883,0.086670518,Not Significant,1.369415738
lolB,Other,242384E_coliDH5_03753,0.2451338895,28.1707571,2.171270654,0.04744213915,0.09512193894,-5.42426132,3,2.209320826,0.04279349683,0.08675272161,Not Significant,1.368622224
dnaJ,Other,242384E_coliDH5_02397,0.4071502541,28.69155077,2.084653151,0.05573991894,0.1087918723,-5.573197693,7,2.207613891,0.0429339923,0.08696112399,Not Significant,1.367198726
